Writer;Pages;Rating;Rating_Count;Review_Count;Title;Genre
Richelle Mead;443 pages;4.37;302887;10619;Shadow Kiss;Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
Alexandre Dumas;1276 pages;4.23;655998;17574;The Count of Monte Cristo;Classics|Fiction|Historical|Historical Fiction|Adventure|Literature|Cultural|France|Historical|Classics|Classic Literature|Novels|Romance
Stephen King;1116 pages;4.22;612234;18294;It;Horror|Fiction|Fantasy
Rick Riordan;381 pages;4.5;553701;19495;The Last Olympian;Fantasy|Young Adult|Fantasy|Mythology
Nicholas Sparks;240 pages;4.16;583106;11879;A Walk to Remember;Romance|Fiction|Womens Fiction|Chick Lit|Young Adult|Contemporary
Gabriel García Márquez;348 pages;3.9;348861;16662;Love in the Time of Cholera;Fiction|Classics|Historical|Historical Fiction|Romance|Magical Realism
Veronica Roth;525 pages;4.06;1017639;57266;Insurgent;Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
Colleen McCullough;692 pages;4.23;286194;5053;The Thorn Birds;Fiction|Historical|Historical Fiction|Romance|Classics|Cultural|Australia|Historical
J.K. Rowling;341 pages;4.4;2162618;40697;Harry Potter and the Chamber of Secrets;Fantasy|Young Adult|Fiction
Dr. Seuss;64 pages;4.36;281489;2535;How the Grinch Stole Christmas!;Childrens|Childrens|Picture Books|Classics|Holiday|Christmas|Fiction|Holiday|Fantasy|Poetry|Humor|Kids
Zora Neale Hurston;219 pages;3.89;219443;10439;Their Eyes Were Watching God;Classics|Fiction|Historical|Historical Fiction|Academic|School|Cultural|African American
Ian McEwan;351 pages;3.89;391630;15730;Atonement;Fiction|Historical|Historical Fiction|Romance|Classics|Historical
Oscar Wilde;76 pages;4.17;264693;7442;The Importance of Being Earnest;Classics|Plays|Fiction|Drama|Humor|Literature|Plays|Theatre|Academic|School|Humor|Comedy|Romance
Douglas Adams;815 pages;4.38;252980;4679;The Ultimate Hitchhiker's Guide to the Galaxy;Science Fiction|Fiction|Humor|Fantasy|Classics
Richelle Mead;327 pages;4.29;283827;10591;Frostbite;Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
Elizabeth Gilbert;334 pages;3.53;1305657;51368;Eat, Pray, Love;Nonfiction|Autobiography|Memoir|Travel
Alexandre Dumas;625 pages;4.07;241297;5575;The Three Musketeers;Classics|Fiction|Historical|Historical Fiction|Adventure
L. Frank Baum;154 pages;3.98;309018;10137;The Wonderful Wizard of Oz;Classics|Fantasy|Fiction|Childrens
Margaret Wise Brown;32 pages;4.27;266591;5091;Goodnight Moon;Childrens|Classics
Dr. Seuss;72 pages;4.35;241590;3543;The Lorax;Childrens|Childrens|Picture Books|Fiction
Richelle Mead;503 pages;4.35;256884;9253;Blood Promise;Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
Wilson Rawls;212 pages;4.05;300435;9604;Where the Red Fern Grows;Classics|Fiction|Young Adult|Childrens
Pearl S. Buck;418 pages;3.98;205238;8937;The Good Earth;Classics|Fiction|Historical|Historical Fiction|Cultural|China|Literature
Thomas Hardy;518 pages;3.78;211670;7431;Tess of the D'Urbervilles;Classics|Fiction|Literature|Romance
William Shakespeare;298 pages;3.94;395736;6537;A Midsummer Night's Dream;Classics|Plays|Fiction|Drama|Fantasy
Kahlil Gibran;127 pages;4.23;182895;7251;The Prophet;Poetry|Philosophy|Classics|Fiction|Spirituality|Religion
Marion Zimmer Bradley;884 pages;4.12;173459;6066;The Mists of Avalon;Fantasy|Fiction|Historical|Historical Fiction|Mythology|Arthurian|Science Fiction Fantasy
Joseph Conrad;188 pages;3.42;347389;11294;Heart of Darkness;Classics|Fiction|Literature|Cultural|Africa|Academic|School
Terry Pratchett|Neil Gaiman;412 pages;4.25;378490;16449;Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;Fantasy|Fiction|Humor|Fantasy|Urban Fantasy
Amy Tan;288 pages;3.91;552197;7521;The Joy Luck Club;Fiction|Historical|Historical Fiction|Classics|Cultural|China|Contemporary
J.R.R. Tolkien;366 pages;4.26;2422848;41354;The Hobbit;Fantasy|Classics|Fiction
Rick Riordan;361 pages;4.39;592128;15745;The Battle of the Labyrinth;Fantasy|Young Adult|Fantasy|Mythology
Richard Bach;112 pages;3.81;166770;6289;Jonathan Livingston Seagull;Fiction|Classics|Philosophy|Fantasy|Spirituality|Inspirational
Norton Juster;256 pages;4.21;207536;8816;The Phantom Tollbooth;Fantasy|Fiction|Childrens|Classics|Young Adult
Jack London;172 pages;3.84;276707;7928;The Call of the Wild;Classics|Fiction|Adventure|Young Adult|Animals|Historical|Historical Fiction|Literature|Academic|School|Childrens|Novels
Cassandra Clare;567 pages;4.59;277242;25357;Clockwork Princess;Fantasy|Young Adult|Romance|Fantasy|Paranormal
Rick Riordan;279 pages;4.24;613354;22330;The Sea of Monsters;Fantasy|Young Adult|Fantasy|Mythology|Fiction
Dr. Seuss;44 pages;4.35;281184;4471;Oh, The Places You'll Go!;Childrens|Picture Books|Childrens|Fiction
Gustave Flaubert;329 pages;3.66;209654;8610;Madame Bovary;Classics|Fiction|Cultural|France|Literature
Stieg Larsson;503 pages;4.23;717071;32496;The Girl Who Played with Fire;Fiction|Mystery|Thriller|Mystery|Crime
Katherine Paterson;128 pages;3.98;384779;10445;Bridge to Terabithia;Young Adult|Fiction|Childrens|Fantasy|Classics
Rick Riordan;320 pages;4.34;562627;17182;The Titan's Curse;Fantasy|Young Adult|Fantasy|Mythology|Fiction
E.L. James;356 pages;3.66;1602670;77053;Fifty Shades of Grey;Romance|Fiction|Adult Fiction|Erotica|Adult|Erotica|Bdsm
Charles Dickens;608 pages;3.85;277586;6021;Oliver Twist;Classics|Fiction|Literature|Historical|Historical Fiction
Jean M. Auel;512 pages;4.03;200505;5652;The Clan of the Cave Bear;Historical|Historical Fiction|Fiction|Fantasy|Historical|Classics|Romance|Adventure|Historical Fiction|Prehistoric|Adult|Adult Fiction
Geoffrey Chaucer;504 pages;3.49;168744;2843;The Canterbury Tales;Classics|Fiction|Poetry|Literature
James Joyce;783 pages;3.74;95889;5644;Ulysses;Classics|Fiction|Literature|Novels
James Dashner;384 pages;4.03;861972;52335;The Maze Runner;Young Adult|Science Fiction|Dystopia|Science Fiction
Robert Louis Stevenson;311 pages;3.83;344305;9084;Treasure Island;Classics|Fiction|Adventure|Young Adult
John Irving;610 pages;4.08;188576;4919;The World According to Garp;Fiction|Classics|Contemporary|Literature|Novels
Michael Ende;396 pages;4.18;136309;5016;The Neverending Story;Fantasy|Classics|Fiction|Young Adult|Childrens
Ernest Hemingway;293 pages;3.79;226697;7987;A Farewell to Arms;Classics|Fiction|Historical|Historical Fiction|War|Literature
Charles Dickens;882 pages;3.97;177486;5226;David Copperfield;Classics|Fiction|Literature|Historical|Historical Fiction
Gregory Maguire;406 pages;3.52;538651;23668;Wicked: The Life and Times of the Wicked Witch of the West;Fantasy|Fiction|Adult
Jay Asher;288 pages;3.98;655965;48562;Thirteen Reasons Why;Young Adult|Contemporary|Fiction|Realistic Fiction
George R.R. Martin;1177 pages;4.54;576139;20556;A Storm of Swords;Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy
James Clavell;1152 pages;4.38;127412;3514;Shōgun;Historical|Historical Fiction|Fiction|Cultural|Japan|Historical|Classics
Philippa Gregory;661 pages;4.05;419008;16309;The Other Boleyn Girl;Historical|Historical Fiction|Fiction|Historical|Romance
Jonathan Safran Foer;326 pages;3.97;346950;22110;Extremely Loud and Incredibly Close;Fiction|Contemporary|Historical|Historical Fiction
Thomas Keneally;429 pages;4.34;117770;1846;Schindler's List;History|Nonfiction|Classics|World War II|Holocaust|War
Richelle Mead;594 pages;4.41;239272;10734;Last Sacrifice;Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
Lauren Kate;452 pages;3.73;437542;18650;Fallen;Young Adult|Fantasy|Paranormal|Angels|Fantasy|Paranormal|Romance
